src_year,dst_jurisdiction,count
2011,sk,5
2011,yk,1
2012,ab,38
2012,bc,67
2012,mb,16
2012,nb,5
2012,nl,12
2012,ns,26
2012,nt,1
2012,on,161
2012,qc,82
2012,sk,10
2012,yk,2
2013,ab,34
2013,bc,117
2013,mb,19
2013,nb,11
2013,nl,9
2013,ns,21
2013,nt,1
2013,on,181
2013,pe,1
2013,qc,102
2013,sk,22
2013,yk,1
2014,ab,38
2014,bc,65
2014,mb,20
2014,nb,7
2014,nl,17
2014,ns,21
2014,nt,3
2014,on,127
2014,pe,3
2014,qc,166
2014,sk,12
2015,ab,43
2015,bc,100
2015,mb,23
2015,nb,11
2015,nl,12
2015,ns,17
2015,nt,1
2015,nu,1
2015,on,224
2015,pe,4
2015,qc,112
2015,sk,22
2015,yk,2
2016,ab,71
2016,bc,97
2016,mb,14
2016,nb,4
2016,nl,8
2016,ns,12
2016,nt,7
2016,on,136
2016,pe,2
2016,qc,102
2016,sk,16
2017,ab,60
2017,bc,107
2017,mb,12
2017,nb,8
2017,nl,8
2017,ns,11
2017,nu,1
2017,on,165
2017,pe,3
2017,qc,154
2017,sk,20
2017,yk,5
2018,ab,67
2018,bc,46
2018,mb,14
2018,nb,7
2018,nl,4
2018,ns,8
2018,nu,1
2018,on,153
2018,pe,2
2018,qc,139
2018,sk,12
2018,yk,2
2019,ab,65
2019,bc,79
2019,mb,21
2019,nb,7
2019,nl,11
2019,ns,24
2019,nt,1
2019,nu,1
2019,on,260
2019,pe,1
2019,qc,361
2019,sk,14
2019,yk,4
2020,ab,102
2020,bc,152
2020,mb,21
2020,nb,6
2020,nl,16
2020,ns,24
2020,nt,3
2020,nu,2
2020,on,233
2020,pe,3
2020,qc,140
2020,sk,28
2020,yk,4
