court,year,sum
abqb,1912,0.000484002396606869
abqb,1913,0.00065178547660122
abqb,1914,0.000408009026963073
abqb,1915,0.000342223128135261
abqb,1916,0.000157746425987265
abqb,1917,0.000235612470945964
abqb,1918,2.78364762908876e-05
abqb,1919,0.000248588552607449
abqb,1920,0.00024122417558572
abqb,1921,2.87326161674503e-05
abqb,1922,9.86853305247489e-05
abqb,1923,0.000159829876497375
abqb,1924,0.000333223556008037
abqb,1925,4.12246742587534e-05
abqb,1926,0.000313662626212877
abqb,1927,0.000115688316211121
abqb,1928,0.000100427379874766
abqb,1929,4.68313431038046e-05
abqb,1930,0.000158062013858901
abqb,1931,0.000370842568798174
abqb,1932,0.00101716722806997
abqb,1933,6.3449101312843e-05
abqb,1934,7.08598063659216e-05
abqb,1935,6.31369324380258e-05
abqb,1936,0.000118002598635929
abqb,1937,0.000353086296582551
abqb,1938,0.000370151940383136
abqb,1939,0.000662513281338642
abqb,1940,0.000188806772656961
abqb,1941,0.000284425037885941
abqb,1942,0.000563205028092006
abqb,1943,0.000269898732002802
abqb,1944,3.34271125813978e-05
abqb,1945,0.000200895805417153
abqb,1946,0.000146171111208728
abqb,1947,0.000302431909409102
abqb,1948,0.000127985982491037
abqb,1949,0.000296518528268109
abqb,1950,0.000467223525560068
abqb,1951,0.00157778646287324
abqb,1952,0.00041635245576812
abqb,1953,0.000467222343852942
abqb,1954,0.00115247917992221
abqb,1955,0.000934331276202548
abqb,1956,0.000302624128179167
abqb,1957,0.000562408986041347
abqb,1958,0.000133985720047783
abqb,1959,0.000879742423769733
abqb,1960,0.00060338581956171
abqb,1961,0.000247819190484596
abqb,1962,0.00124933342814508
abqb,1963,0.000652469955782499
abqb,1964,0.00102662722930668
abqb,1965,0.00121488697705703
abqb,1966,0.000540868306491187
abqb,1967,0.00104010139397696
abqb,1968,0.000512027424122682
abqb,1969,0.000417439818874873
abqb,1970,0.000931506400273724
abqb,1971,0.000970929870673175
abqb,1972,0.0049528436435401
abqb,1973,0.000526212861031001
abqb,1974,0.00234991789723033
abqb,1975,0.00578659567790484
abqb,1976,0.00348688393275549
abqb,1977,0.00527293532950058
abqb,1978,0.00650113091938693
abqb,1979,0.00500895710385367
abqb,1980,0.00909035989048348
abqb,1981,0.00415133454428786
abqb,1982,0.0076105018727679
abqb,1983,0.00959353618218907
abqb,1984,0.0189653618094119
abqb,1985,0.026029971568374
abqb,1986,0.0385633692075756
abqb,1987,0.0438999569618515
abqb,1988,0.036149478987538
abqb,1989,0.0210097914729927
abqb,1990,0.04943525452027
abqb,1991,0.0337740330682204
abqb,1992,0.0496238676030714
abqb,1993,0.0575511919921228
abqb,1994,0.0747676738869709
abqb,1995,0.0535599463081406
abqb,1996,0.0491716459701491
abqb,1997,0.100213541449418
abqb,1998,0.104628185475044
abqb,1999,0.0889017188705409
abqb,2000,0.155690787109453
abqb,2001,0.230432173304956
abqb,2002,0.250047670926087
abqb,2003,0.199941992315253
abqb,2004,0.273102966889325
abqb,2005,0.271087615017884
abqb,2006,0.245010556670926
abqb,2007,0.219785502115156
abqb,2008,0.309054054161789
abqb,2009,0.271308355674229
abqb,2010,0.367577053247552
abqb,2011,0.331145381947868
abqb,2012,0.431583651260766
abqb,2013,0.31504830396187
abqb,2014,0.363638147615773
abqb,2015,0.330833666861267
abqb,2016,0.313202939330171
abqb,2017,0.303448686917067
abqb,2018,0.297604588443729
abqb,2019,0.205566166911679
abqb,2020,0.0162561975541004
bcca,1910,6.12186324793398e-05
bcca,1911,0.000185343650789647
bcca,1912,0.000337480788199957
bcca,1913,0.000262658975098428
bcca,1914,0.000976970920767389
bcca,1915,0.000527389317871891
bcca,1916,0.000257782779055419
bcca,1917,0.00020456741218171
bcca,1918,0.000141693781482554
bcca,1919,0.000758031050125502
bcca,1920,0.000249596258542359
bcca,1921,0.000341339851825525
bcca,1922,0.000676128544289273
bcca,1923,0.000428147978067946
bcca,1924,0.000210686958704216
bcca,1925,0.000871952603570729
bcca,1926,0.000482887915122616
bcca,1927,0.000647468393013533
bcca,1928,0.000303935642177601
bcca,1929,0.00124669496598036
bcca,1930,0.000272105852012912
bcca,1931,0.00118802184692093
bcca,1932,0.000491822950408855
bcca,1933,0.00513121387796676
bcca,1934,0.00106402758475499
bcca,1935,0.000301829572055874
bcca,1936,0.00036778996323148
bcca,1937,0.000878167994344807
bcca,1938,0.00198293900996215
bcca,1939,0.000382092595422444
bcca,1940,0.00168334905591782
bcca,1941,0.00149060811304872
bcca,1942,0.00326061623350449
bcca,1943,0.00167401639324041
bcca,1944,0.00106119188622906
bcca,1945,0.00267685861967552
bcca,1946,0.00269399637110145
bcca,1947,0.00157537172964654
bcca,1948,0.00257720985405496
bcca,1949,0.00178730201586061
bcca,1950,0.00211145593161916
bcca,1951,0.0126757852098045
bcca,1952,0.00219474508768953
bcca,1953,0.00141611920856468
bcca,1954,0.00190955842113436
bcca,1955,0.00205208805475241
bcca,1956,0.00200093689431991
bcca,1957,0.0021108408418074
bcca,1958,0.00213911559468603
bcca,1959,0.00342763091453504
bcca,1960,0.00325713301966137
bcca,1961,0.0026080901156538
bcca,1962,0.00668766438074144
bcca,1963,0.00315256136198832
bcca,1964,0.00477895444251604
bcca,1965,0.00468631846020127
bcca,1966,0.00595079369365092
