year,sum,community
2010,0.000583943287547131,666
2011,0.000575369888612914,666
2012,0.000673670139328675,666
2013,0.000682959948036025,666
2014,0.00071066793672306,666
2015,0.000786136338375808,666
2016,0.000826772228035258,666
2017,0.000837149598420181,666
2018,0.000904531545190762,666
2019,0.000967814844314483,666
2020,0.00111116498218115,666
2021,0.00179789910236194,666
1970,0.000138863220903835,816
1971,0.000130072502022776,816
1972,5.07824000920381e-05,816
1973,6.55085869052675e-05,816
1974,7.68883701611346e-05,816
1975,0.000204525233640118,816
1976,0.000181034753946797,816
1977,0.000160797542141244,816
1978,9.27116647669841e-05,816
1979,0.000262545516568587,816
1980,0.000216498068456233,816
1981,0.000114853024872651,816
1982,0.000284111790475324,816
1983,0.000458033340014686,816
1984,0.000329614141434859,816
1985,0.000346793085134067,816
1986,0.000805266221928466,816
1987,0.000688980006402608,816
1988,0.000532681535604126,816
1989,0.000741016483082983,816
1990,0.000513335224341974,816
1991,0.000697002085659179,816
1992,0.000641554602989526,816
1993,0.00062398609235652,816
1994,0.00058948200008725,816
1995,0.000916544727418169,816
1996,0.00045932482069593,816
1997,0.00106234155324059,816
1998,0.000693414918388331,816
1999,0.00082037914550189,816
2000,0.000617446368060986,816
2001,0.000788605655406492,816
2002,0.00100190105032641,816
2003,0.000807911274068745,816
2004,0.000653371962944258,816
2005,0.000529960919465172,816
2006,0.000674517846941561,816
2007,0.000523295189375551,816
2008,0.000670080231644377,816
2009,0.000577292341471424,816
2010,0.000690099863117053,816
2011,0.000663858121525036,816
2012,0.000677341667490832,816
2013,0.000788171755840685,816
2014,0.000872529670302068,816
2015,0.000835574282101623,816
2016,0.000876200133326306,816
2017,0.000618453377956039,816
2018,0.000688880428154152,816
2019,0.000749836214651553,816
2020,0.000777125566045956,816
1970,5.31489238503758e-05,1131
1971,8.88721482711715e-05,1131
1972,0.000127262640918383,1131
1973,0.000104425014765443,1131
1974,9.45695142593126e-05,1131
1975,0.000170246081233606,1131
1976,0.000329517993401078,1131
1977,0.000130794011686534,1131
1978,0.000209840184228777,1131
1979,0.000188608533500006,1131
1980,0.000144255342549712,1131
1981,0.000149432242688935,1131
1982,0.000169780802420806,1131
1983,0.000253270071594305,1131
1984,0.000122301442417188,1131
1985,0.000195619526774624,1131
1986,0.000131830117555461,1131
1987,0.000218943109556049,1131
1988,0.000314302272266861,1131
1989,0.000245130057590287,1131
1990,0.00018302919865602,1131
1991,0.000374152149121143,1131
1992,0.000111008440277751,1131
1993,0.000306753074462321,1131
1994,8.43040261499943e-05,1131
1995,0.000221367288762791,1131
1996,0.000244614832683005,1131
1997,0.000221648855852788,1131
1998,0.000395815947838979,1131
1999,0.000292015327938261,1131
2000,0.000261047232521584,1131
2001,0.000234702890839677,1131
2002,0.000267995213249312,1131
2003,0.000273601751950278,1131
2004,0.000259691619815026,1131
2005,0.000329032637739274,1131
2006,0.000319192819513131,1131
2007,0.000576005885532175,1131
2008,0.000404004413581052,1131
2009,0.000580734740854068,1131
2010,0.000479785333750902,1131
2011,0.00103740949387147,1131
2012,0.000437287618159514,1131
2013,0.000565019465673239,1131
2014,0.00032472801668935,1131
2015,0.000641835060169534,1131
2016,0.000760672469531686,1131
2017,0.000659506321569878,1131
2018,0.000665885336329484,1131
2019,0.000870739994232086,1131
2020,0.00158006347818924,1131
1970,0.000115920475764149,1144
1971,0.000162289477040778,1144
1972,0.000109574094718742,1144
1973,0.00021817168033694,1144
1974,0.00020827777265764,1144
1975,0.000162975598988832,1144
1976,0.000534558853901544,1144
1977,0.000243425069612709,1144
1978,0.000379238061653695,1144
1979,0.000572462130717547,1144
1980,0.000305584206157065,1144
1981,0.000258366971729972,1144
1982,0.00028451452237305,1144
1983,0.000258863733998483,1144
1984,0.000315643440596777,1144
1985,0.000528430681019001,1144
1986,0.000337194537368844,1144
1987,0.000293126194874933,1144
1988,0.000510728356009146,1144
1989,0.000910886127505201,1144
1990,0.000822290357339613,1144
1991,0.000522630433133872,1144
1992,0.000870063500910653,1144
1993,0.000985087270024405,1144
1994,0.000752969577261582,1144
1995,0.000679124680294806,1144
1996,0.000688887578148026,1144
1997,0.00078500802567969,1144
1998,0.000768747653931933,1144
1999,0.000803124865559788,1144
2000,0.00073373863970066,1144
2001,0.000758523326282535,1144
2002,0.000989722661643673,1144
2003,0.000958562293313307,1144
2004,0.000850951987323415,1144
2005,0.000924800992433121,1144
2006,0.00095659603337246,1144
2007,0.00087005211239336,1144
2008,0.00181510285435284,1144
2009,0.00193234190133702,1144
2010,0.00177427546816261,1144
2011,0.0018957965182469,1144
2012,0.00188323713340389,1144
2013,0.00184586282521443,1144
2014,0.0021274471812234,1144
2015,0.00195965567884196,1144
2016,0.0020173684673912,1144
2017,0.00209181514243043,1144
2018,0.00228815473599798,1144
2019,0.00221828790461974,1144
2020,0.00225013473626745,1144
2021,0.00126448018557504,1144
